arquivo;condicao;n_janelas;tamanho_janela_s;baseline_HbO;baseline_HbR;janela_1_HbO;janela_1_HbR;janela_2_HbO;janela_2_HbR;janela_3_HbO;janela_3_HbR;janela_4_HbO;janela_4_HbR;media_janelas_HbO;media_janelas_HbR
dp366_pre_hrf_canais.csv;B;1;24.9;0.2690944860832097;0.15937234427522837;0.46750721426765984;-0.052772118324893494;;;;;;;0.46750721426765984;-0.052772118324893494
dp366_pre_hrf_canais.csv;Baseline;2;27.45;-0.09114871491274436;0.09939889892242482;0.832095619831279;0.7716748497534852;2.321793959453983;1.5972342286412184;;;;;1.576944789642631;1.1844545391973518
dp366_pre_hrf_canais.csv;D_2min;4;28.725;-0.08290039935408082;-0.014523778614291567;-0.511397525964534;-0.10932617616631021;-0.3223327746904695;-0.03209468544400849;-0.4128917788637152;-0.09017845018718129;-0.4795209576310294;-0.0741151109227618;-0.43153575928743704;-0.07642860568006545
dp366_pre_hrf_canais.csv;D_andar;1;24.9;-0.4341910877644681;0.051264547878854046;0.568690653739652;-0.02884623923855075;;;;;;;0.568690653739652;-0.02884623923855075
dp366_pre_hrf_canais.csv;D_postura;1;24.9;0.5851501334006411;0.19994437037780477;0.30254213606973723;-0.15931011230891876;;;;;;;0.30254213606973723;-0.15931011230891876
dp366_pre_hrf_canais.csv;F;1;24.9;0.844965561330213;0.30801977779772416;0.3812829210327667;0.10705191769139878;;;;;;;0.3812829210327667;0.10705191769139878
dp366_pre_hrf_canais.csv;I;1;24.9;0.8154870195450015;0.45799276211215745;0.18312186182860996;0.019530804988461624;;;;;;;0.18312186182860996;0.019530804988461624
dp366_pre_hrf_canais.csv;O;1;24.9;-0.12506336499550694;-0.05013857835550171;0.09046687850030108;0.1022546505601319;;;;;;;0.09046687850030108;0.1022546505601319
dp366_pre_hrf_canais.csv;P;1;24.9;0.5371352898016486;0.20698833016705628;0.0850838102392111;-0.025452777721016062;;;;;;;0.0850838102392111;-0.025452777721016062
dp366_pre_hrf_canais.csv;S_2min;4;28.725;1.0408432103438958;0.26484626286369806;-0.047579230235757906;-0.0003830072991956559;-0.06054831165565626;-0.003048672963839215;-0.4703087406614769;-0.0719663538972003;-0.25204205895807885;-0.12195696923247833;-0.20761958537774247;-0.049338750848178375
dp366_pre_hrf_canais.csv;S_andar;1;24.9;-0.16755262332861265;-0.0836132992153007;0.1513499483776155;0.050400006427894606;;;;;;;0.1513499483776155;0.050400006427894606
dp366_pre_hrf_canais.csv;S_postura;1;24.9;-0.03610126086241287;0.11812398410328022;-0.18576039328051963;-0.009609064460153393;;;;;;;-0.18576039328051963;-0.009609064460153393
